listing_id,host_id,location_id,room_type_id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
4681219,24208781,6432,1,70,2,68,1.31,129
4685448,2368446,6433,1,60,1,0,0,0
4685985,4357223,6434,1,120,1,0,0,0
4686678,7759020,6435,2,150,1,3,0.05,0
4686821,24232061,6436,1,112,10,38,0.78,157
4687730,529546,6437,1,145,3,0,0,0
4687896,24236837,6438,2,80,30,6,0.11,187
4688418,23772724,6439,2,99,30,6,0.11,332
4690677,19007585,6440,2,110,7,11,0.2,0
4691130,24253453,6441,1,70,2,120,2.47,68
4691649,8501698,6442,2,140,4,1,0.03,0
4693338,9123948,6443,1,46,4,3,0.05,0
4694179,3753306,6444,2,180,1,1,0.05,0
4694480,24268565,6445,2,250,1,185,3.32,209
4694622,24269297,6446,1,75,3,41,0.81,294
4694625,1843216,6447,2,250,4,26,0.61,102
4694688,4217567,6448,2,250,3,2,0.04,0
4695408,15642271,6449,1,60,1,3,0.05,0
4697809,4259327,6450,1,95,7,10,0.18,331
4698079,24067453,6451,2,138,11,5,0.09,0
4698707,5352419,6452,2,550,20,1,0.08,220
4699061,24291213,6453,1,35,1,0,0,0
4699123,11708876,6454,1,90,1,0,0,0
4699289,17014518,6455,2,180,1,0,0,0
4699535,41358,6456,2,145,2,1,0.02,0
4699963,24295835,6457,2,100,3,15,0.27,0
4700082,21409261,6458,2,119,4,19,0.36,0
4700265,14320459,6459,1,70,2,0,0,0
4700565,24298733,6460,1,48,4,1,0.02,0
4700809,24298733,6461,1,35,4,0,0,0
4700894,10535719,6462,2,200,7,28,0.55,363
4701270,15702523,6463,1,64,2,58,1.05,0
4701425,7460434,6464,1,120,3,25,0.46,89
4701749,24304871,6465,1,50,2,23,0.42,0
4701802,10568263,6466,2,190,2,8,0.87,0
